Title	Authors	Corporate Authors	Editors	Book Editors	Source Title	Publication Date	Publication Year	Volume	Issue	Part Number	Supplement	Special Issue	Beginning Page	Ending Page	Article Number	DOI	Total Citations	Average per Year
"Comparative genomic analysis of SET domain family reveals the origin, expansion, and putative function of the arthropod-specific SmydA genes as histone modifiers in insects"	"Jiang, Feng; Liu, Qing; Wang, Yanli; Zhang, Jie; Wang, Huimin; Song, Tianqi; Yang, Meiling; Wang, Xianhui; Kang, Le"				GIGASCIENCE	APR 22 2017	2017	6	6							10.1093/gigascience/gix031	0	0
"Draft genome of the lined seahorse, Hippocampus erectus"	"Lin, Qiang; Qiu, Ying; Gu, Ruobo; Xu, Meng; Li, Jia; Bian, Chao; Zhang, Huixian; Qin, Geng; Zhang, Yanhong; Luo, Wei; Chen, Jieming; You, Xinxin; Fan, Mingjun; Sun, Min; Xu, Pao; Venkatesh, Byrappa; Xu, Junming; Fu, Hongtuo; Shi, Qiong"				GIGASCIENCE	APR 22 2017	2017	6	6							10.1093/gigascience/gix030	0	0
"MetaLIMS, a simple open-source laboratory information management system for small metagenomic labs"	"Heinle, Cassie Elizabeth; Gaultier, Nicolas Paul Eugene; Miller, Dana; Purbojati, Rikky Wenang; Lauro, Federico M."				GIGASCIENCE	APR 18 2017	2017	6	6							10.1093/gigascience/gix025	0	0
Genomic data for 78 chickens from 14 populations	"Li, Diyan; Che, Tiandong; Chen, Binlong; Tian, Shilin; Zhou, Xuming; Zhang, Guolong; Li, Miao; Gaur, Uma; Li, Yan; Luo, Majing; Zhang, Long; Xu, Zhongxian; Zhao, Xiaoling; Yin, Huadong; Wang, Yan; Jin, Long; Tang, Qianzi; Xu, Huailiang; Yang, Mingyao; Zhou, Rongjia; Li, Ruiqiang; Zhu, Qing; Li, Mingzhou"				GIGASCIENCE	APR 18 2017	2017	6	6							10.1093/gigascience/gix026	0	0
Hybrid de novo genome assembly of the Chinese herbal fleabane Erigeron breviscapus	"Yang, Jing; Zhang, Guanghui; Zhang, Jing; Liu, Hui; Chen, Wei; Wang, Xiao; Li, Yahe; Dong, Yang; Yang, Shengchao"				GIGASCIENCE	APR 18 2017	2017	6	6							10.1093/gigascience/gix028	0	0
ReGaTE: Registration of Galaxy Tools in Elixir	"Doppelt-Azeroual, Olivia; Mareuil, Fabien; Deveaud, Eric; Kalas, Matus; Soranzo, Nicola; van den Beek, Marius; Gruening, Bjoern; Ison, Jon; Menager, Herve"				GIGASCIENCE	APR 10 2017	2017	6	6								0	0
Genome-wide sequencing of longan (Dimocarpus longan Lour.) provides insights into molecular basis of its polyphenol-rich characteristics	"Lin, Yuling; Min, Jiumeng; Lai, Ruilian; Wu, Zhangyan; Chen, Yukun; Yu, Lili; Cheng, Chunzhen; Jin, Yuanchun; Tian, Qilin; Liu, Qingfeng; Liu, Weihua; Zhang, Chengguang; Lin, Lixia; Hu, Yan; Zhang, Dongmin; Thu, Minkyaw; Zhang, Zihao; Liu, Shengcai; Zhong, Chunshui; Fang, Xiaodong; Wang, Jian; Yang, Huanming; Varshney, Rajeev K.; Yin, Ye; Lai, Zhongxiong"				GIGASCIENCE	MAR 28 2017	2017	6	5							10.1093/gigascience/gix023	0	0
Using and understanding cross-validation strategies Perspectives on Saeb et al	"Little, Max A.; Varoquaux, Gael; Saeb, Sohrab; Lonini, Luca; Jayaraman, Arun; Mohr, David C.; Kording, Konrad P."				GIGASCIENCE	MAR 17 2017	2017	6	5							10.1093/gigascience/gix020	0	0
PSSMHCpan: a novel PSSM-based software for predicting class I peptide-HLA binding affinity	"Liu, Geng; Li, Dongli; Li, Zhang; Qiu, Si; Li, Wenhui; Chao, Cheng-chi; Yang, Naibo; Li, Handong; Cheng, Zhen; Song, Xin; Cheng, Le; Zhang, Xiuqing; Wang, Jian; Yang, Huanming; Ma, Kun; Hou, Yong; Li, Bo"				GIGASCIENCE	MAR 15 2017	2017	6	5							10.1093/gigascience/gix017	0	0
The need to approximate the use-case in clinical machine learning	"Saeb, Sohrab; Lonini, Luca; Jayaraman, Arun; Mohr, David C.; Kording, Konrad P."				GIGASCIENCE	MAR 15 2017	2017	6	5							10.1093/gigascience/gix019	0	0
Genome sequencing of the sweetpotato whitefly Bemisia tabaci MED/Q	"Xie, Wen; Chen, Chunhai; Yang, Zezhong; Guo, Litao; Yang, Xin; Wang, Dan; Chen, Ming; Huang, Jinqun; Wen, Yanan; Zeng, Yang; Liu, Yating; Xia, Jixing; Tian, Lixia; Cui, Hongying; Wu, Qingjun; Wang, Shaoli; Xu, Baoyun; Li, Xianchun; Tan, Xinqiu; Ghanim, Murad; Qiu, Baoli; Pan, Huipeng; Chu, Dong; Delatte, Helene; Maruthi, M. N.; Ge, Feng; Zhou, Xueping; Wang, Xiaowei; Wan, Fanghao; Du, Yuzhou; Luo, Chen; Yan, Fengming; Preisser, Evan L.; Jiao, Xiaoguo; Coates, Brad S.; Zhao, Jinyang; Gao, Qiang; Xia, Jinquan; Yin, Ye; Liu, Yong; Brown, Judith K.; Zhou, Xuguo (Joe); Zhang, Youjun"				GIGASCIENCE	MAR 15 2017	2017	6	5							10.1093/gigascience/gix018	0	0
The genome sequence of the wisent (Bison bonasus)	"Wang, Kun; Wang, Lizhong; Lenstra, Johannes A.; Jian, Jianbo; Yang, Yongzhi; Hu, Quanjun; Lai, Deyong; Qiu, Qiang; Ma, Tao; Du, Zheng; Abbott, Richard; Liu, Jianquan"				GIGASCIENCE	MAR 10 2017	2017	6	4							10.1093/gigascience/gix016	0	0
Enhancing knowledge discovery from cancer genomics data with Galaxy	"Albuquerque, Marco A.; Grande, BrunoM.; Ritch, Elie J.; Pararajalingam, Prasath; Jessa, Selin; Krzywinski, Martin; Grewal, Jasleen K.; Shah, Sohrab P.; Boutros, Paul C.; Morin, Ryan D."				GIGASCIENCE	MAR 9 2017	2017	6	5							10.1093/gigascience/gix015	0	0
Science in the cloud (SIC): A use case in MRI connectomics	"Kiar, Gregory; Gorgolewski, Krzysztof J.; Kleissas, Dean; Roncal, William Gray; Litt, Brian; Wandell, Brian; Poldrack, Russel A.; Wiener, Martin; Vogelstein, R. Jacob; Burns, Randal; Vogelstein, Joshua T."				GIGASCIENCE	MAR 7 2017	2017	6	5							10.1093/gigascience/gix013	0	0
"RED-ML: a novel, effective RNA editing detection method based on machine learning"	"Xiong, Heng; Liu, Dongbing; Li, Qiye; Lei, Mengyue; Xu, Liqin; Wu, Liang; Wang, Zongji; Ren, Shancheng; Li, Wangsheng; Xia, Min; Lu, Lihua; Lu, Haorong; Hou, Yong; Zhu, Shida; Liu, Xin; Sun, Yinghao; Wang, Jian; Yang, Huanming; Wu, Kui; Xu, Xun; Lee, Leo J."				GIGASCIENCE	MAR 2 2017	2017	6	5							10.1093/gigascience/gix012	0	0
"Draft genome of the Northern snakehead, Channa argus"	"Xu, Jian; Bian, Chao; Chen, Kunci; Liu, Guiming; Jiang, Yanliang; Luo, Qing; You, Xinxin; Peng, Wenzhu; Li, Jia; Huang, Yu; Yi, Yunhai; Dong, Chuanju; Deng, Hua; Zhang, Songhao; Zhang, Hanyuan; Shi, Qiong; Xu, Peng"				GIGASCIENCE	MAR 2 2017	2017	6	4							10.1093/gigascience/gix011	0	0
Stepwise Distributed Open Innovation Contests for Software Development: Acceleration of Genome-Wide Association Analysis	"Hill, Andrew; Loh, Po-Ru; Bharadwaj, Ragu B.; Pons, Pascal; Shang, Jingbo; Guinan, Eva; Lakhani, Karim; Kilty, Iain; Jelinsky, Scott A."				GIGASCIENCE	FEB 28 2017	2017	6	5							10.1093/gigascience/gix009	0	0
Phenobook: an open source software for phenotypic data collection	"Crescente, Juan M.; Guidobaldi, Fabio; Demichelis, Melina; Formica, Maria B.; Helguera, Marcelo; Vanzetti, Leonardo S."				GIGASCIENCE	FEB 24 2017	2017	6	4				1	5		10.1093/gigascience/giw019	0	0
"Genome sequencing of the winged midge, Parochlus steinenii, from the Antarctic Peninsula"	"Kim, Sanghee; Oh, Mijin; Jung, Woongsic; Park, Joonho; Choi, Han-Gu; Shin, Seung Chul"				GIGASCIENCE	FEB 24 2017	2017	6	3							10.1093/gigascience/giw009	0	0
De novo transcriptome assemblies of four xylem sap-feeding insects	"Tassone, Erica E.; Cowden, Charles C.; Castle, S. J."				GIGASCIENCE	FEB 24 2017	2017	6	3							10.1093/gigascience/giw007	0	0
The use of Oxford Nanopore native barcoding for complete genome assembly	"Bayliss, Sion C.; Hunt, Vicky L.; Yokoyama, Maho; Thorpe, Harry A.; Feil, Edward J."				GIGASCIENCE	FEB 24 2017	2017	6	3							10.1093/gigascience/gix001	0	0
"Whole genome sequencing of Chinese clearhead icefish, Protosalanx hyalocranius"	"Liu, Kai; Xu, Dongpo; Li, Jia; Bian, Chao; Duan, Jinrong; Zhou, Yanfeng; Zhang, Minying; You, Xinxin; You, Yang; Chen, Jieming; Yu, Hui; Xu, Gangchun; Fang, Di-an; Qiang, Jun; Jiang, Shulun; He, Jie; Xu, Junmin; Shi, Qiong; Zhang, Zhiyong; Xu, Pao"				GIGASCIENCE	FEB 24 2017	2017	6	4							10.1093/gigascience/giw012	0	0
GUIdock-VNC: using a graphical desktop sharing system to provide a browser-based interface for containerized software	"Mittal, Varun; Hung, Ling-Hong; Keswani, Jayant; Kristiyanto, Daniel; Lee, Sung Bong; Yeung, Ka Yee"				GIGASCIENCE	FEB 24 2017	2017	6	4							10.1093/gigascience/giw013	0	0
Developmental coordination disorder in children experimental work and data annotation	"Vareka, Lukas; Bruha, Petr; Moucek, Roman; Mautner, Pavel; Cepicka, Ladislav; Holeckova, Irena"				GIGASCIENCE	FEB 24 2017	2017	6	4							10.1093/gigascience/gix002	0	0
NanoSim: nanopore sequence read simulator based on statistical characterization	"Yang, Chen; Chu, Justin; Warren, Rene L.; Birol, Inanc"				GIGASCIENCE	FEB 24 2017	2017	6	4							10.1093/gigascience/gix010	0	0
"A reference gene set construction using RNA-seq of multiple tissues of Chinese giant salamander, Andrias davidianus"	"Geng, Xiaofang; Li, Wanshun; Shang, Haitao; Gou, Qiang; Zhang, Fuchun; Zang, Xiayan; Zeng, Benhua; Li, Jiang; Wang, Ying; Ma, Ji; Guo, Jianlin; Jian, Jianbo; Chen, Bing; Qiao, Zhigang; Zhou, Minghui; Wei, Hong; Fang, Xiaodong; Xu, Cunshuan"				GIGASCIENCE	FEB 15 2017	2017	6	3						6	10.1093/gigascience/gix006	0	0
An improved assembly of the loblolly pine mega-genome using long-read single-molecule sequencing	"Zimin, Aleksey V.; Stevens, Kristian A.; Crepeau, Marc W.; Puiu, Daniela; Wegrzyn, Jill L.; Yorke, James A.; Langley, Charles H.; Neale, David B.; Salzberg, Steven L."				GIGASCIENCE	FEB 15 2017	2017	6	1							10.1093/gigascience/giw016	0	0
Multilayer modeling and analysis of human brain networks	"De Domenico, Manlio"				GIGASCIENCE	FEB 6 2017	2017	6	5							10.1093/gigascience/gix004	0	0
Orthogonal decomposition of left ventricular remodeling in myocardial infarction	"Zhang, Xingyu; Medrano-Gracia, Pau; Ambale-Venkatesh, Bharath; Bluemke, David A.; Cowan, Brett R.; Finn, J. Paul; Kadish, Alan H.; Lee, Daniel C.; Lima, Joao A. C.; Young, Alistair A.; Suinesiaputra, Avan"				GIGASCIENCE	FEB 6 2017	2017	6	3							10.1093/gigascience/gix005	0	0
drVM: a new tool for efficient genome assembly of known eukaryotic viruses from metagenomes	"Lin, Hsin-Hung; Liao, Yu-Chieh"				GIGASCIENCE	JAN 20 2017	2017	6	2						10	10.1093/gigascience/gix003	0	0
Updated foxtail millet genome assembly and gene mapping of nine key agronomic traits by resequencing a RIL population	"Ni, Xuemei; Xia, Qiuju; Zhang, Houbao; Cheng, Shu; Li, Hui; Fan, Guangyu; Guo, Tao; Huang, Ping; Xiang, Haitao; Chen, Qingchun; Li, Ning; Zou, Hongfeng; Cai, Xuemei; Lei, Xuejing; Wang, Xiaoming; Zhou, Chengshu; Zhao, Zhihai; Zhang, Gengyun; Du, Guohua; Cai, Wei; Quan, Zhiwu"				GIGASCIENCE	JAN 20 2017	2017	6	2						8	10.1093/gigascience/giw005	0	0
From reads to operational taxonomic units: an ensemble processing pipeline for MiSeq amplicon sequencing data	"Mysara, Mohamed; Njima, Mercy; Leys, Natalie; Raes, Jeroen; Monsieurs, Pieter"				GIGASCIENCE	JAN 18 2017	2017	6	2						10	10.1093/gigascience/giw017	0	0
Morphometric analysis of Passiflora leaves: the relationship between landmarks of the vasculature and elliptical Fourier descriptors of the blade	"Chitwood, Daniel H.; Otoni, Wagner C."				GIGASCIENCE	JAN 7 2017	2017	6	1							10.1093/gigascience/giw008	0	0
de novo assembly and population genomic survey of natural yeast isolates with the Oxford Nanopore MinION sequencer	"Istace, Benjamin; Friedrich, Anne; d'Agata, Leo; Faye, Sebastien; Payen, Emilie; Beluche, Odette; Caradec, Claudia; Davidas, Sabrina; Cruaud, Corinne; Liti, Gianni; Lemainque, Arnaud; Engelen, Stefan; Wincker, Patrick; Schacherer, Joseph; Aury, Jean-Marc"				GIGASCIENCE	JAN 7 2017	2017	6	2							10.1093/gigascience/giw018	0	0
"The genome of the Antarctic-endemic copepod, Tigriopus kingsejongensis"	"Kang, Seunghyun; Ahn, Do-Hwan; Lee, Jun Hyuck; Lee, Sung Gu; Shin, Seung Chul; Lee, Jungeun; Min, Gi-Sik; Lee, Hyoungseok; Kim, Hyun-Woo; Kim, Sanghee; Park, Hyun"				GIGASCIENCE	JAN 7 2017	2017	6	1							10.1093/gigascience/giw010	0	0
Draft genome of the sea cucumber Apostichopus japonicus and genetic polymorphism among color variants	"Jo, Jihoon; Oh, Jooseong; Lee, Hyun-Gwan; Hong, Hyun-Hee; Lee, Sung-Gwon; Cheon, Seongmin; Kern, Elizabeth M. A.; Jin, Soyeong; Cho, Sung-Jin; Park, Joong-Ki; Park, Chungoo"				GIGASCIENCE	JAN 7 2017	2017	6	1							10.1093/gigascience/giw006	0	0
"Genome sequence of a rice pest, the white-backed planthopper (Sogatella furcifera)"	"Wang, Lin; Tang, Nan; Gao, Xinlei; Chang, Zhaoxia; Zhang, Liqin; Zhou, Guohui; Guo, Dongyang; Zeng, Zhen; Li, Wenjie; Akinyemi, Ibukun A.; Yang, Huanming; Wu, Qingfa"				GIGASCIENCE	JAN 2 2017	2017	6	1						9	10.1093/gigascience/giw004	0	0
Comparative optical genome analysis of two pangolin species: Manis pentadactyla and Manis javanica	Huang Zhihai; Xu Jiang; Xiao Shuiming; Liao Baosheng; Gao Yuan; Zhai Chaochao; Qiu Xiaohui; Xu Wen; Chen Shilin				GIGASCIENCE	DEC 29 2016	2016	5	1							10.1093/gigascience/giw001	0	0
Bermuda 2.0: reflections from Santa Cruz	"Reardon, Jenny; Ankeny, Rachel A.; Bangham, Jenny; Darling, Katherine W.; Hilgartner, Stephen; Jones, Kathryn Maxson; Shapiro, Beth; Stevens, Hallam"	Genomic Open Workshop Grp			GIGASCIENCE	DEC 29 2016	2016	5	1							10.1093/gigascience/giw003	0	0
Plant specimen contextual data consensus	"ten Hoopen, Petra; Walls, Ramona L.; Cannon, Ethalinda K. S.; Cochrane, Guy; Cole, James; Johnston, Anjanette; Karsch-Mizrachi, Ilene; Yilmaz, Pelin"				GIGASCIENCE	DEC 29 2016	2016	5	1							10.1093/gigascience/giw002	0	0
"Gigwa-Genotype investigator for genome-wide analyses (vol 5, 25, 2016)"	"Sempere, Guilhem; Philippe, Florian; Dereeper, Alexis; Ruiz, Manuel; Sarah, Gautier; Larmande, Pierre"				GIGASCIENCE	NOV 2 2016	2016	5								10.1186/s13742-016-0153-2	0	0
2015 Brainhack Proceedings Abstracts	[Anonymous]				GIGASCIENCE	NOV 2016	2016	5			1				46	10.1186/s13742-016-0147-0	0	0
Clusterflock: a flocking algorithm for isolating congruent phylogenomic datasets	"Narechania, Apurva; Baker, Richard; DeSalle, Rob; Mathema, Barun; Kolokotronis, Sergios-Orestis; Kreiswirth, Barry; Planet, Paul J."				GIGASCIENCE	OCT 24 2016	2016	5							44	10.1186/s13742-016-0152-3	0	0
The whole genome sequences and experimentally phased haplotypes of over 100 personal genomes	"Mao, Qing; Ciotlos, Serban; Zhang, Rebecca Yu; Ball, Madeleine P.; Chin, Robert; Carnevali, Paolo; Barua, Nina; Nguyen, Staci; Agarwal, Misha R.; Clegg, Tom; Connelly, Abram; Vandewege, Ward; Zaranek, Alexander Wait; Estep, Preston W.; Church, George M.; Drmanac, Radoje; Peters, Brock A."				GIGASCIENCE	OCT 11 2016	2016	5								10.1186/s13742-016-0148-z	0	0
A picture is worth a thousand data points: an imagery dataset of paired shrub-open microsites within the Carrizo Plain National Monument	"Noble, Taylor J.; Lortie, Christopher J.; Westphal, Michael; Butterfield, H. Scott"				GIGASCIENCE	SEP 27 2016	2016	5							40	10.1186/s13742-016-0145-2	0	0
"The genome of the largest bony fish, ocean sunfish (Mola mola), provides insights into its fast growth rate"	"Pan, Hailin; Yu, Hao; Ravi, Vydianathan; Li, Cai; Lee, Alison P.; Lian, Michelle M.; Tay, Boon-Hui; Brenner, Sydney; Wang, Jian; Yang, Huanming; Zhang, Guojie; Venkatesh, Byrappa"				GIGASCIENCE	SEP 9 2016	2016	5							36	10.1186/s13742-016-0144-3	0	0
Transcriptome of the Caribbean stony coral Porites astreoides from three developmental stages	"Mansour, Tamer A.; Rosenthal, Joshua J. C.; Brown, C. Titus; Roberson, Loretta M."				GIGASCIENCE	AUG 2 2016	2016	5							33	10.1186/s13742-016-0138-1	0	0
AGOUTI: improving genome assembly and annotation using transcriptome data	"Zhang, Simo V.; Zhuo, Luting; Hahn, Matthew W."				GIGASCIENCE	JUL 19 2016	2016	5							31	10.1186/s13742-016-0136-3	0	0
"Sequencing, de novo assembly and annotation of a pink bollworm larval midgut transcriptome"	"Tassone, Erica E.; Zastrow-Hayes, Gina; Mathis, John; Nelson, Mark E.; Wu, Gusui; Flexner, J. Lindsey; Carriere, Yves; Tabashnik, Bruce E.; Fabrick, Jeffrey A."				GIGASCIENCE	JUN 22 2016	2016	5							28	10.1186/s13742-016-0130-9	0	0
Keemei: cloud-based validation of tabular bioinformatics file formats in Google Sheets	"Rideout, Jai Ram; Chase, John H.; Bolyen, Evan; Ackermann, Gail; Gonzalez, Antonio; Knight, Rob; Caporaso, J. Gregory"				GIGASCIENCE	JUN 13 2016	2016	5							27	10.1186/s13742-016-0133-6	0	0
Recommendations for open data science	"Gymrek, Melissa; Farjoun, Yossi"				GIGASCIENCE	MAY 18 2016	2016	5							22	10.1186/s13742-016-0127-4	0	0
Colib'read on galaxy: a tools suite dedicated to biological information extraction from raw NGS reads	"Le Bras, Yvan; Collin, Olivier; Monjeaud, Cyril; Lacroix, Vincent; Rivals, Eric; Lemaitre, Claire; Miele, Vincent; Sacomoto, Gustavo; Marchet, Camille; Cazaux, Bastien; El Aabidine, Amal Zine; Salmela, Leena; Alves-Carvalho, Susete; Andrieux, Alexan; Uricaru, Raluca; Peterlongo, Pierre"				GIGASCIENCE	FEB 11 2016	2016	5							9	10.1186/s13742-015-0105-2	0	0
Whole genome sequence analysis of BT-474 using complete Genomics' standard and long fragment read technologies	"Ciotlos, Serban; Mao, Qing; Zhang, Rebecca Yu; Li, Zhenyu; Chin, Robert; Gulbahce, Natali; Liu, Sophie Jia; Drmanac, Radoje; Peters, Brock A."				GIGASCIENCE	FEB 9 2016	2016	5							8	10.1186/s13742-016-0113-x	0	0
"A quantitative assessment of the Hadoop framework for analyzing massively parallel DNA sequencing data (vol 4, pg 26, 2015)"	"Siretskiy, Alexey; Sundqvist, Tore; Voznesenskiy, Mikhail; Spjuth, Ola"				GIGASCIENCE	DEC 9 2015	2015	4							61	10.1186/s13742-015-0100-7	0	0
Image processing for optical mapping	"Ravindran, Prabu; Gupta, Aditya"				GIGASCIENCE	NOV 26 2015	2015	4							57	10.1186/s13742-015-0096-z	0	0
The Genome Russia project: closing the largest remaining omission on the world Genome map	"Oleksyk, Taras K.; Brukhin, Vladimir; O'Brien, Stephen J."				GIGASCIENCE	NOV 13 2015	2015	4							53	10.1186/s13742-015-0095-0	0	0
Determination of nonlinear genetic architecture using compressed sensing	"Ho, Chiu Man; Hsu, Stephen D. H."				GIGASCIENCE	SEP 14 2015	2015	4							44	10.1186/s13742-015-0081-6	0	0
The PFP and ESG protein function prediction methods in 2014: effect of database updates and ensemble approaches	"Khan, Ishita K.; Wei, Qing; Chapman, Samuel; Kc, Dukka B.; Kihara, Daisuke"				GIGASCIENCE	SEP 14 2015	2015	4							43	10.1186/s13742-015-0083-4	0	0
Transcriptome of the egg parasitoid Fopius arisanus: an important biocontrol tool for Tephritid fruit fly suppression	"Calla, Bernarda; Sim, Sheina B.; Hall, Brian; DeRego, Theodore; Liang, Guang Hong; Geib, Scott M."				GIGASCIENCE	AUG 4 2015	2015	4							36	10.1186/s13742-015-0075-4	0	0
The signed Kolmogorov-Smirnov test: why it should not be used	"Filion, Guillaume J."				GIGASCIENCE	FEB 27 2015	2015	4							9	10.1186/s13742-015-0048-7	0	0
Live time-lapse dataset of in vitro wound healing experiments	"Zaritsky, Assaf; Natan, Sari; Kaplan, Doron; Ben-Jacob, Eshel; Tsarfaty, Ilan"				GIGASCIENCE	FEB 25 2015	2015	4							8	10.1186/s13742-015-0049-6	0	0
iReport: a generalised Galaxy solution for integrated experimental reporting	"Hiltemann, Saskia; Hoogstrate, Youri; van der Spek, Peter; Jenster, Guido; Stubbs, Andrew"				GIGASCIENCE	OCT 13 2014	2014	3							19	10.1186/2047-217X-3-19	0	0
Using image mapping towards biomedical and biological data sharing	"Zaizi, Nurzi Juana Mohd; Iskandar, Dayang Nurfatimah Awang"				GIGASCIENCE	2013	2013	2							12	10.1186/2047-217X-2-12	0	0
"Genome empowerment for the Puerto Rican parrot - Amazona vittata (vol 1, pg 13, 2012)"	"O'Brien, Stephen J."				GIGASCIENCE	NOV 27 2012	2012	1							17	10.1186/2047-217X-1-17	0	0
A genome blogger manifesto	"Corpas, Manuel"				GIGASCIENCE	OCT 26 2012	2012	1							15	10.1186/2047-217X-1-15	0	0
Genome empowerment for the Puerto Rican parrot - Amazona vittata	"O'Brien, Stephen J."				GIGASCIENCE	SEP 28 2012	2012	1							13	10.1186/2047-217X-1-13	0	0
